@id,@lat,@lon,name,location,amenity,opening_hours
309881391,42.0038552,21.4001835,,,,
309881393,42.0038110,21.4009810,,,,
309892088,42.0052669,21.4058279,,,,
309892089,42.0044248,21.4056171,,,,
309892091,42.0051802,21.4064556,,,,
365810777,42.0027762,21.3901152,,,,
365810779,42.0026399,21.3911789,,,,
365810780,42.0034185,21.3913742,,,,
365810781,42.0035320,21.3903817,,,,
418872688,42.0053196,21.4066027,,,,
418872689,42.0043380,21.4062447,,,,
418872692,42.0037526,21.4105069,,,,
418872694,42.0051612,21.4108433,,,,
418872695,42.0056123,21.4071510,,,,
418873132,42.0043122,21.4094481,,,,
418873133,42.0039753,21.4093667,,,,
441057683,42.0054208,21.4058722,,,,
441057684,42.0058499,21.4059795,,,,
441057685,42.0057211,21.4069574,,,,
441057694,42.0051454,21.4082395,Cafeteria,,cafe,
441057706,42.0047294,21.4066338,,,,
441057708,42.0047055,21.4066305,,,,
441057717,42.0055752,21.4063983,,,,
441057718,42.0055191,21.4068220,,,,
441057719,42.0057178,21.4068696,,,,
441057720,42.0057739,21.4064459,,,,
459801246,42.0031059,21.3999451,Мартини,,cafe,
1615830879,42.0034224,21.3983460,Fluid,,cafe,
1868812084,42.0039141,21.4001975,,,,
1868812085,42.0033243,21.4007683,,,,
1868812145,42.0034357,21.3999221,,,,
1868812159,42.0033749,21.4008768,,,,
1868812204,42.0038758,21.4000270,,,,
1871929880,42.0051661,21.4065639,,,,
2004962783,42.0039464,21.4090996,,,,
2298054794,42.0071574,21.3722969,Badu,,cafe,
2335276874,42.0066064,21.3613132,,,,
2335276883,42.0063083,21.3614118,,,,
2335276897,42.0063486,21.3616325,,,,
2335276899,42.0066467,21.3615339,,,,
3506696093,42.0043361,21.3906406,Trend Food Bar,,cafe,08:00-00:00; Fr-Sa 08:00-01:00
3750783154,42.0038662,21.3921091,Play Cafe,,cafe,
4144229199,42.0033451,21.3902530,,,,
4144229200,42.0033896,21.3902688,,,,
4198944089,42.0046060,21.3862677,Ch2pter,,cafe,09:00-23:45; Fr-Sa 09:00-23:45
4225448689,42.0151641,21.3990452,Tonnis Bakeri,,cafe,
4228828360,42.0137478,21.4041470,Coffeeshop Company lounge,,cafe,
4247226994,42.0048738,21.3910392,Juicy and Co,,cafe,
4327921320,42.0033204,21.3981384,Prikazna,,cafe,
4881325503,42.0063497,21.4066977,,,,
4881325504,42.0063517,21.4065717,,,,
4881325505,42.0063976,21.4066991,,,,
4881325506,42.0063996,21.4065730,,,,
5223756513,42.0039911,21.4087570,,,,
5223756514,42.0042874,21.4066088,,,,
5284636627,42.0032845,21.3902359,,,,
5284636628,42.0034238,21.3902863,,,,
5284636629,42.0034589,21.3903077,,,,
5284636630,42.0034920,21.3903359,,,,
5284636631,42.0035161,21.3903609,,,,
5284636632,42.0035397,21.3903996,,,,
5284636633,42.0035453,21.3904231,,,,
5284636634,42.0035466,21.3904550,,,,
5289764916,42.0040211,21.4085288,,,,
5289765524,42.0042743,21.4067036,,,,
5298107133,42.0034079,21.4008850,,,,
5298107134,42.0040209,21.3978977,Insomnia Gaming Club,,internet_cafe,
5333583388,42.0034483,21.3991821,Giovani,,cafe,
5343491941,42.0038631,21.4005855,,,,
5345558568,42.0021163,21.4073324,,,,
5345558569,42.0020857,21.4075479,,,,
5345558570,42.0023616,21.4076187,,,,
5345558571,42.0023921,21.4074032,,,,
5713714222,42.0229571,21.3885778,AvAv Dog Park,,cafe,
6089711779,42.0038026,21.3970638,Led Zeppelin,,cafe,
6145381755,42.0030494,21.3994796,Sugarland,,cafe,
6228007184,42.0045660,21.3937780,Krem,,cafe,
6374722112,42.0049991,21.4108037,,,,
8497896340,42.0039696,21.4089361,,,,
9517236017,42.0051817,21.4065678,,,,
9517236018,42.0043839,21.4062562,,,,
9968536024,42.0044518,21.4064949,,,,
9968536025,42.0045950,21.4065274,,,,
9968536026,42.0046182,21.4063716,,,,
9968536027,42.0046822,21.4066672,,,,
9968536028,42.0045786,21.4066405,,,,
9968536029,42.0045946,21.4065278,,,,
9968536030,42.0048261,21.4067000,,,,
9968536031,42.0047450,21.4065278,,,,
9968536032,42.0047042,21.4065170,,,,
9968536033,42.0046882,21.4066243,,,,
9968536034,42.0047005,21.4065449,,,,
9968536035,42.0047329,21.4065882,,,,
9968536036,42.0047090,21.4065849,,,,
9968574117,42.0048656,21.4064312,,,,
9968574118,42.0047620,21.4064043,,,,
9968574121,42.0044681,21.4063851,,,,
9968574122,42.0044997,21.4065078,,,,
9968574123,42.0046983,21.4065545,,,,
9968574124,42.0048417,21.4065976,,,,
9968574218,42.0045160,21.4063980,,,,
9968574219,42.0047217,21.4063994,,,,
9968574220,42.0046985,21.4065552,,,,
9968574221,42.0047381,21.4065706,,,,
9968574222,42.0047378,21.4065701,,,,
9968574223,42.0047226,21.4066722,,,,
9968574224,42.0048413,21.4065979,,,,
9968574225,42.0047291,21.4066337,,,,
9968574226,42.0047408,21.4065562,,,,
9968574319,42.0042923,21.4096152,,,,
9968574320,42.0039525,21.4095374,,,,
10001128030,42.0042909,21.4105429,,,,
10001128034,42.0043016,21.4105443,,,,
10001128035,42.0043106,21.4105997,,,,
10001128036,42.0042650,21.4105395,,,,
10001128037,42.0042389,21.4105983,,,,
10001128038,42.0042133,21.4106112,,,,
10001128039,42.0043337,21.4106474,,,,
1000000028213214,42.0036192,21.4004515,Другарче,,library,
1000000028214330,42.0048024,21.4060363,Факултет за драмски уметности,,university,
1000000032530219,42.0030932,21.3907447,Архив на град Скопје,,library,
1000000035829281,42.0048012,21.4083577,Техничко-технолошки кампус,,university,
1000000037626725,42.0056465,21.4066339,Машински Факултет,,university,
1000000224735413,42.0064775,21.3614728,Браќа Миладиновци,,library,
1000000496423191,42.0063746,21.4066353,La Cafetaria,,cafe,
1000000553831588,42.0022389,21.4074755,Драмски Кафе Бар,,cafe,
1000001087997963,42.0041323,21.4094909,ФИНКИ - деканат,,,
1000001087997964,42.0044839,21.4064464,ЛАБ Б1,,,
1000001087997965,42.0046583,21.4064634,Барака 2.1,,,
1000001087997966,42.0046384,21.4065975,Барака 2.2,,,
1000001087997967,42.0048018,21.4065009,Барака 3.1,,,
1000001087997968,42.0047819,21.4066350,Барака 3.2,,,
1000001087997971,42.0047227,21.4065366,,,,
1000001087997972,42.0047192,21.4066093,,,,
